sku,product_category,launch_date,end_of_sale_date,end_of_standard_support_date,end_of_life_date,source_method,source_url,confidence,needs_review,notes
SQL Server 2019 Web Edition,SQL,2019-11-04,,2025-02-28,2030-01-08,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/sql-server-2019,0.85,False,"SQL Server 2019 Web Edition follows the Fixed Lifecycle Policy with 5 years of mainstream support and 5 years of extended support. Mainstream support ended February 28, 2025. Extended support (security updates only) continues until January 8, 2030."
SQL Server 2019 Standard Edition,SQL,2019-11-04,,2025-02-28,2030-01-08,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/sql-server-2019?branch=live,0.85,False,Applies to all editions including Standard on Windows and Linux; follows Fixed Lifecycle Policy with Mainstream Support ending 2025-02-28 and Extended Support ending 2030-01-08.
SQL Server 2019 Enterprise Edition,SQL,2019-11-04,,2025-02-28,2030-01-08,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/sql-server-2019?branch=live,0.85,False,"Applies to all editions including Enterprise on Windows and Linux. Follows Fixed Lifecycle Policy. Mainstream support ends 2025-02-28, extended support ends 2030-01-08."
Alma Linux 8,OS,2021-03-30,,2024-05-01,2029-03-01,perplexity_grounded,https://wiki.almalinux.org/FAQ.html,0.85,False,"AlmaLinux OS 8 launched 2021-03-30. Active support (full updates) ended 2024-05-01; security support until 2029-03-01 per endoflife.date and eosl.date, consistent with AlmaLinux wiki stating AlmaLinux 8.x EOL 2029. Minor versions EOL upon next minor release."
Alma Linux 9,OS,2022-05-26,,2027-05-31,2032-05-31,perplexity_inferred,https://wiki.almalinux.org/FAQ.html,0.6,True,"AlmaLinux 9 initial release on 2022-05-26. Active support ends 2027-05-31, security support (EOL) until 2032-05-31. Minor versions EOL upon next minor release. Confirmed across multiple sources including official wiki, endoflife.date."
Rocky Linux 8,OS,2021-05-01,2024-05-31,2024-05-31,2029-05-31,perplexity_inferred,https://wiki.rockylinux.org/rocky/version/,0.6,True,"Rocky Linux 8 (Green Obsidian) follows a 10-year support cycle: 5 years active support ending May 31, 2024, followed by 5 years security support until EOL on May 31, 2029. Latest version 8.10 released May 31, 2024. Multiple sources including endoflife.date and deploymentfromscratch.com confirm EOL date."
Rocky Linux 9,OS,2022-07-14,,2027-05-31,2032-05-31,perplexity_inferred,https://rockylinux.org/news/rocky-linux-9-0-ga-release,0.6,True,"Rocky Linux 9 series launched with 9.0 on 2022-07-14. Active support ends 2027-05-31 per endoflife.date/rocky-linux; full security support to 2032-05-31. Point releases EOL upon newer release (e.g., 9.7 current as of 2025-12-01). No official vendor lifecycle page found."
Rocky Linux 10,OS,2025-06-11,,2030-05-31,2035-05-31,perplexity_inferred,https://rockylinux.org/news/rocky-linux-10-0-ga-release,0.6,True,"Rocky Linux 10 (Red Quartz) general availability on 2025-06-11. Active support (full support phase) ends 2030-05-31, security/maintenance support to 2035-05-31 per official docs and wiki. Minor 10.0 EOL 2025-11-25, superseded by 10.1."
RHEL 9.x,OS,2022-05-18,,2027-05-31,2032-05-31,perplexity_grounded,https://access.redhat.com/product-life-cycles,0.85,False,"RHEL 9 has a 10-year lifecycle: Full Support until 2027-05-31, followed by Maintenance Support until 2032-05-31. Extended Life Cycle Support (ELS) add-on available until 2035-05-31. Latest minor release is 9.7 (2025-11-11)."
RHEL 9.x VDC for Unlimited Linux Guests,OS,2022-05-18,,2027-05-31,2032-05-31,inherited,https://access.redhat.com/product-life-cycles,0.85,False,Inherited from 'RHEL 9.x' — RHEL API unavailable at run time
RHEL 9.x for VMs,OS,2022-05-18,,2027-05-31,2032-05-31,perplexity_grounded,https://access.redhat.com/support/policy/updates/errata,0.85,False,RHEL 9 follows a 10-year lifecycle with 5 years of Full Support (ending May 2027) followed by 5 years of Maintenance Support (ending May 2032). Extended Life Cycle Support available until May 2035. VM deployments follow the same lifecycle as the base OS version.
RHEL 8.x,OS,2019-05-07,,2024-05-31,2029-05-31,perplexity_inferred,https://access.redhat.com/product-life-cycles?product=Red+Hat+Enterprise+Linux,0.6,True,"RHEL 8 in Maintenance Support phase until May 31, 2029; Extended Life Cycle Support (ELS) available until 2032. Dates from multiple sources including Red Hat portals and lifecycle trackers; no direct primary vendor page with all exact fields in search results."
RHEL 8.x VDC for Unlimited Linux Guests,OS,2019-05-07,,2024-05-31,2029-05-31,perplexity_inferred,,0.6,True,RHEL 8.x released May 2019. End of Full Support: May 2024. End of Maintenance Support 1: May 2029. 'VDC for Unlimited Linux Guests' appears to be a specific subscription or virtualization add-on; no distinct lifecycle dates found in results. Dates from secondary sources aggregating Red Hat data.
RHEL 8.x for VMs,OS,2019-05-07,,2024-05-31,2029-05-31,perplexity_inferred,,0.6,True,"RHEL 8 released May 2019. Full Support ended May 2024, Maintenance Support ends May 2029, followed by Extended Life Phase to ~2032. 'RHEL 8.x for VMs' follows standard RHEL 8 lifecycle; no VM-specific dates found. Primary vendor pages require login."
RHEL for VMs - 1 to 8 vCPUs,OS,2022-05-18,,2027-05-31,2032-05-31,inherited,https://access.redhat.com/support/policy/updates/errata,0.85,False,Inherited from 'RHEL 9.x for VMs' — RHEL API unavailable at run time
RHEL for VMs - 9 to 127 vCPUs,OS,2022-05-18,,2027-05-31,2032-05-31,perplexity_grounded,https://access.redhat.com/support/policy/updates/errata?extIdCarryOver=true&sc_cid=701f2000001OH7EAAW,0.85,False,"RHEL 9 lifecycle: 10-year support (Full Support until 2027-05-31, Maintenance Support until 2032-05-31, Extended Life Phase until 2035-05-31). 'RHEL for VMs - 9 to 127 vCPUs' follows standard RHEL 9 lifecycle as no variant-specific dates found; VM configuration (vCPUs) does not alter OS support phases per Red Hat policy."
RHEL for VMs - 128 to Unlimited vCPUs,OS,2022-05-18,,2027-05-31,2032-05-31,inherited,https://access.redhat.com/support/policy/updates/errata?extIdCarryOver=true&sc_cid=701f2000001OH7EAAW,0.85,False,Inherited from 'RHEL for VMs - 9 to 127 vCPUs' — RHEL API unavailable at run time
CentOS 8,OS,2019-09-24,2021-12-31,2021-12-31,2021-12-31,perplexity_inferred,https://www.eol.support/centos,0.6,True,"CentOS Linux 8 discontinued; no longer safe to use. Core and active support both ended Dec 31, 2021 per eol.support and multiple sources including official CentOS and Google Cloud docs."
Debian 12,OS,2023-06-10,,2026-06-10,2028-06-30,perplexity_grounded,https://debian.org/releases/bookworm,0.85,False,"Debian 12 'Bookworm' has 3 years full support until 2026-06-10, followed by 2 years LTS until 2028-06-30. Superseded by Debian 13."
Debian 13,OS,2025-08-09,,2028-08-09,2030-06-30,perplexity_grounded,https://www.debian.org/News/2025/20250809,0.85,False,"Debian 13 (Trixie) receives 3 years of standard security support from the Debian Security Team, followed by 2 years of Long Term Support (LTS) from the Debian LTS team, for a total of 5 years of support."
Ubuntu 22.04 LTS,OS,2022-04-21,,2027-04-01,2032-04-09,perplexity_grounded,https://eolstatus.com/product/canonical-ubuntu-22-04-lts,0.85,False,Ubuntu 22.04 LTS (Jammy Jellyfish) by Canonical. EOSL is end of standard support; EOL includes 5-year ESM extension.
Ubuntu 24.04 LTS,OS,2024-04-25,,2029-05-31,2036-05-31,perplexity_inferred,https://eolstatus.com/product/canonical-ubuntu-24-04-lts,0.6,True,Ubuntu 24.04 LTS (Noble Numbat). Standard support to 2029-05-31 per multiple sources; EOL with ESM 2036-05-31. No primary Canonical lifecycle page in results; dates consistent across trackers and discourse.ubuntu.com.
Windows Server 2025 Standard Edition,OS,2024-11-01,,2029-11-13,2034-11-14,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2025,0.85,False,"Windows Server 2025 Standard Edition follows the Fixed Lifecycle Policy. Mainstream support ends 2029-11-13, extended support ends 2024-11-14. Confirmed for Standard edition on Microsoft Lifecycle page."
Windows Server 2025 Data Center Edition,OS,2024-11-01,,2029-11-13,2034-11-14,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2025,0.85,False,Windows Server 2025 Datacenter follows the Fixed Lifecycle Policy. Dates apply to Datacenter edition per Microsoft official lifecycle page.
Windows Server 2022 Standard Edition,OS,2021-08-18,,2026-10-13,2031-10-14,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2022-standard-msl,0.85,False,"Follows Fixed Lifecycle Policy. Applies to Standard (MSL) edition; mainstream support ends 2026-10-13, extended support ends 2031-10-14 (PT timezone)."
Windows Server 2022 Data Center Edition,OS,2021-08-18,,2026-10-13,2031-10-14,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2022,0.85,False,"Applies to Datacenter edition under Fixed Lifecycle Policy; Mainstream Support ends 2026-10-13, Extended Support ends 2021-10-14."
Windows Server 2019 Standard Edition,OS,2018-11-13,,2024-01-09,2029-01-09,perplexity_grounded,https://learn.microsoft.com/cs-cz/lifecycle/products/windows-server-2019,0.85,False,"Applies to Standard edition per Microsoft Lifecycle policy; mainstream support ended 2024-01-09, extended support ends 2029-01-09."
Windows Server 2019 Data Center Edition,OS,2018-11-13,,2024-01-09,2029-01-09,perplexity_grounded,https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2019,0.85,False,"Applies to Datacenter edition per Microsoft Fixed Lifecycle Policy; mainstream support ended 2024-01-09, extended support ends 2029-01-09."
