category,sku,product_type,cores,threads,clock_ghz,boost_ghz,tdp_watts,generation,architecture,socket,ecc_support,ram_gb,ram_type,drive_capacity_tb,drive_type,interface,form_factor,sequential_read_mbps,sequential_write_mbps,endurance_tbw,watts,speed_gbe,ports,chipset,connector_type,capex_usd,source_url,overall_confidence,needs_review
Processor,Intel Xeon E-2146G 3.5GHz 6C/12T,cpu,6,12,3.5,4.5,80,Xeon E,Coffee Lake,1151,True,,,,,,,,,,,,,,,,https://www.intel.com/content/www/us/en/products/sku/134866/intel-xeon-e2146g-processor-12m-cache-up-to-4-50-ghz/specifications.html,0.85,False
Processor,Intel Xeon E-2468 2.6GHz 8C/16T,cpu,8,16,2.6,5.2,65,Raptor Lake,Raptor Lake,1700,True,,,,,,,,,,,,,,,,https://ark.intel.com/content/www/us/en/ark/products/236184/intel-xeon-e-2468-processor-24m-cache-2-60-ghz.html,0.85,False
Processor,"Intel Xeon Silver 4514Y 2G, 16C/32T",cpu,16,32,,3.4,150,5,Emerald Rapids,4677,True,,,,,,,,,,,,,,,890.0,https://ark.intel.com/content/www/us/en/ark/products/237557/intel-xeon-silver-4514y-processor-30m-cache-2-00-ghz.html,0.85,False
Processor,"Default Intel Xeon Silver 4514Y 2G, 16C/32T",cpu,16,32,,3.4,150,5,Emerald Rapids,4677,True,,,,,,,,,,,,,,,890.0,https://ark.intel.com/content/www/us/en/ark/products/237557/intel-xeon-silver-4514y-processor-30m-cache-2-00-ghz.html,0.85,False
Processor,"Intel Xeon Gold 6534 4G, 8C/16T",cpu,8,16,,4.2,195,5,Emerald Rapids,4677,True,,,,,,,,,,,,,,,3190.0,https://ark.intel.com/content/www/us/en/ark/products/237555/intel-xeon-gold-6534-processor-22-5m-cache-3-90-ghz.html,0.85,False
Processor,"Intel Xeon Gold 6526Y 2.9G, 16/32T",cpu,,,2.8,3.9,195,5,Emerald Rapids,4677,True,,,,,,,,,,,,,,,1725.0,https://ark.intel.com/content/www/us/en/ark/products/237560/intel-xeon-gold-6526y-processor-37-5m-cache-2-80-ghz.html,0.75,False
Processor,"Default Intel Xeon Gold 6526Y 2.9G, 16/32T",cpu,,,2.8,3.9,195,5,Emerald Rapids,4677,True,,,,,,,,,,,,,,,1725.0,https://ark.intel.com/content/www/us/en/ark/products/237560/intel-xeon-gold-6526y-processor-37-5m-cache-2-80-ghz.html,0.75,False
Processor,"Intel Xeon Gold 6548Y+ 2.5G, 32C/64T",cpu,32,64,2.5,4.1,250,5,Emerald Rapids,4677,True,,,,,,,,,,,,,,,4220.0,https://ark.intel.com/content/www/us/en/ark/products/237564/intel-xeon-gold-6548y-processor-60m-cache-2-50-ghz.html,0.85,False
Processor,"Intel Xeon Platinum 8558U 2G, 48C/96T",cpu,48,96,,4,300,5,Emerald Rapids,4677,True,,,,,,,,,,,,,,,4215.0,https://www.intel.com/content/www/us/en/products/sku/237267/intel-xeon-platinum-8558u-processor-260m-cache-2-00-ghz/specifications.html,0.85,False
RAM,16 GB DDR4 RAM,ram,,,,,,,,,,16,DDR4,,,,,,,,,,,,,160.0,,1.0,False
RAM,32 GB DDR4 RAM,ram,,,,,,,,,,32,DDR4,,,,,,,,,,,,,320.0,,1.0,False
RAM,64 GB DDR4 RAM,ram,,,,,,,,,,64,DDR4,,,,,,,,,,,,,640.0,,1.0,False
RAM,96 GB DDR4 RAM,ram,,,,,,,,,,96,DDR4,,,,,,,,,,,,,960.0,,1.0,False
RAM,128 GB DDR4 RAM,ram,,,,,,,,,,128,DDR4,,,,,,,,,,,,,1280.0,,1.0,False
RAM,192 GB DDR4 RAM,ram,,,,,,,,,,192,DDR4,,,,,,,,,,,,,1920.0,,1.0,False
RAM,256 GB DDR4 RAM,ram,,,,,,,,,,256,DDR4,,,,,,,,,,,,,2560.0,,1.0,False
RAM,384 GB DDR4 RAM,ram,,,,,,,,,,384,DDR4,,,,,,,,,,,,,3840.0,,1.0,False
RAM,512 GB DDR4 RAM,ram,,,,,,,,,,512,DDR4,,,,,,,,,,,,,5120.0,,1.0,False
RAM,768 GB DDR4 RAM,ram,,,,,,,,,,768,DDR4,,,,,,,,,,,,,7680.0,,1.0,False
RAM,1536 GB DDR4 RAM,ram,,,,,,,,,,1536,DDR4,,,,,,,,,,,,,15360.0,,1.0,False
RAM,16 GB DDR5 RAM,ram,,,,,,,,,,16,DDR5,,,,,,,,,,,,,67.0,,1.0,False
RAM,32 GB DDR5 RAM,ram,,,,,,,,,,32,DDR5,,,,,,,,,,,,,107.0,,1.0,False
RAM,64 GB DDR5 RAM,ram,,,,,,,,,,64,DDR5,,,,,,,,,,,,,268.0,,1.0,False
RAM,128 GB DDR5 RAM,ram,,,,,,,,,,128,DDR5,,,,,,,,,,,,,536.0,,1.0,False
RAM,192 GB DDR5 RAM,ram,,,,,,,,,,192,DDR5,,,,,,,,,,,,,804.0,,1.0,False
RAM,256 GB DDR5 RAM,ram,,,,,,,,,,256,DDR5,,,,,,,,,,,,,856.0,,1.0,False
RAM,384 GB DDR5 RAM,ram,,,,,,,,,,384,DDR5,,,,,,,,,,,,,1284.0,,1.0,False
RAM,512 GB DDR5 RAM,ram,,,,,,,,,,512,DDR5,,,,,,,,,,,,,1768.0,,1.0,False
RAM,768 GB DDR5 RAM,ram,,,,,,,,,,768,DDR5,,,,,,,,,,,,,2652.0,,1.0,False
RAM,1024 GB DDR5 RAM,ram,,,,,,,,,,1024,DDR5,,,,,,,,,,,,,3536.0,,1.0,False
RAM,1536 GB DDR5 RAM,ram,,,,,,,,,,1536,DDR5,,,,,,,,,,,,,5304.0,,1.0,False
RAM,2048 GB DDR5 RAM,ram,,,,,,,,,,2048,DDR5,,,,,,,,,,,,,7072.0,,1.0,False
Drive,1 TB 7200 6 Gb/s SATA,drive,,,,,,,,,,,,1.0,hdd,6,3.5,,,,,,,,,80.0,https://storagetekpro.com/products/st1000dm003,0.85,False
Drive,2 TB 7200 6 Gb/s SATA,drive,,,,,,,,,,,,2.0,hdd,6,3.5,215,215,,,,,,,145.0,https://www.bhphotovideo.com/c/product/1790036-REG/wd_wd20ezbx_spayra0_wd_blue_7200rpm_2tb.html,0.85,False
Drive,4 TB 7200 6 Gb/s SATA,drive,,,,,,,,,,,,4.0,hdd,6,3.5,214,,,,,,,,180.0,https://www.filmtools.com/seagate-ironwolf-pro-4tb-nas-hard-drive-7200-rpm-128mb-cache-sata-6-0gb-s-3-5-internal-hard-drive-st4000ne0025.html,0.85,False
Drive,12 TB 7200 6 Gb/s SATA,drive,,,,,,,,,,,,12.0,hdd,6,3.5,250,250,,,,,,,300.0,https://www.seagate.com/www-content/datasheets/pdfs/barracuda-pro-12-tbDS1901-7-1707US-en_US.pdf,0.85,False
Drive,480 GB SSD,drive,,,,,,,,,,,,0.48,ssd,6,2.5,540,500,,,,,,,85.0,https://www.crucial.com/ssd/bx500/ct480bx500ssd1,0.75,False
Drive,480 GB SATA 2.5in SSD,drive,,,,,,,,,,,,0.48,ssd,SATA III,2.5,,,,,,,,,149.0,https://befr.rs-online.com/web/p/hard-drives/1408087,0.75,False
Drive,960 GB SATA 2.5in SSD,drive,,,,,,,,,,,,0.96,ssd,6,2.5,550,520,1366,,,,,,185.0,https://www.servercase.co.uk/shop/components/ssd/25-sata/960gb-samsung-pm883-25-enterprise-ssd-sata-33-6gbs-tlc-3dv-nand-550mbs-read-520mbs-write-98k25k-iops-mz7lh960hajr-00005/,0.75,False
Drive,1.92 TB SATA 2.5in SSD,drive,,,,,,,,,,,,1.92,ssd,6,2.5,535,480,,,,,,,349.0,https://www.storagepartsdirect.com/hpe-vk1920gfdkl-sc-1.92tb-2.5in-sata-6g-read-intensive-g8-g9-ssd/,0.85,False
Drive,3.84 TB SATA 2.5in SSD,drive,,,,,,,,,,,,3.84,ssd,SATA,2.5,520,495,7700,,,,,,379.0,https://www.storagepartsdirect.com/hpe-p04480-b21-3.84tb-2.5in-ds-sata-6g-sc-read-intensive-g10-ssd/,0.85,False
Drive,7.6 TB Micron 9400 SSD,drive,,,,,,,,,,,,7.68,ssd,4,15,7000,7000,14016,,,,,,430.0,https://www.micron.com/products/storage/ssd/data-center-ssd/9400-ssd,0.75,False
Drive,960 GB NVMe u.2 2.5in,drive,,,,,,,,,,,,0.9375,nvme,4,0.2,6500,1500,1752,,,,,,300.0,https://lenovopress.lenovo.com/lp1557-thinksystem-pm9a3-read-intensive-nvme-pcie-40-ssds,0.85,False
Drive,3.84 TB NVMe u.2 2.5in,drive,,,,,,,,,,,,3.84,nvme,4,15,7200,3800,7008,,,,,,680.0,https://www.avadirect.com/3-84TB-CD8-R-15mm-7200-3800-MB-s-3D-TLC-NAND-PCIe-NVMe-4-0-x4-SED-SIE-U-2-2-5-SSD/Product/16124199,0.85,False
Drive,6.4 TB NVMe u.2 2.5in,drive,,,,,,,,,,,,6.4,nvme,4,2.5,3000,2900,36.54,,,,,,1260.0,https://www.wiredzone.com/shop/product/10028190-intel-ssdpe2ke064t8-hard-drive-nvme-6-4tb-u-2-2-5in-pcie-3-1-3d-tlc-3dwpd-dc-p4610-series-2294,0.85,False
Drive,15.36 TB NVMe u.2 2.5in,drive,,,,,,,,,,,,15.36,nvme,4,0.2,7000,3000,,,,,,,2100.0,https://www.exxactcorp.com/Solidigm-SBFPF2BV153T001-E7402373,0.85,False
PSU,750W Redundant Power Supply,psu,,,,,,,,,,,,,,,,,,,750,,,,,150.0,,1.0,False
Network Card,Intel X710-DA2 10 GbE NIC with 2 x SFP+,network_component,,,,,,,,,,,,,,,,,,,,10,2,710,SFP+,295.0,https://www.intel.com/content/www/us/en/products/sku/83964/intel-ethernet-converged-network-adapter-x710da2/specifications.html,0.85,False
Network Card,"Intel X710 Quad Port 10Gb DA/SFP+ Ethernet, NDC",network_component,,,,,,,,,,,,,,,,,,,,,,1,SFP+ Direct Attached Twin Axial Cabling,530.0,https://ark.intel.com/content/www/us/en/ark/products/83965/intel-ethernet-converged-network-adapter-x710-da4.html,0.85,False
